,LP,LR,F1,Exact,N
1,,,,,
pcfg LP/LR summary evalb:,45.43,45.04,45.24,11.23,730
dep DA summary evalb:,57.22,57.22,57.22,18.24,729
factor LP/LR summary evalb:,51.83,52.56,52.19,13.56,730
factor Tag summary evalb:,74.71,74.87,74.79,18.76,730
2,,,,,
pcfg LP/LR summary evalb:,42.87,46.27,44.5,4.26,1500
dep DA summary evalb:,49.18,49.18,49.18,14.77,1448
factor LP/LR summary evalb:,42.89,47.23,44.96,4.06,1500
factor Tag summary evalb:,67.1,67.48,67.29,4.13,1500
3,,,,,
pcfg LP/LR summary evalb:,39.8,42.86,41.27,3.54,1493
dep DA summary evalb:,49.28,49.28,49.28,11.84,1478
factor LP/LR summary evalb:,39.97,44.02,41.9,3.68,1493
factor Tag summary evalb:,62.74,63.1,62.92,3.61,1493
4,,,,,
pcfg LP/LR summary evalb:,43.55,47.44,45.42,4.18,1506
dep DA summary evalb:,59.71,59.71,59.71,17.44,1364
factor LP/LR summary evalb:,43.76,48.13,45.84,4.38,1506
factor Tag summary evalb:,64.98,65.38,65.18,4.24,1506
5,,,,,
pcfg LP/LR summary evalb:,41.82,43.7,42.74,4.1,1511
dep DA summary evalb:,46.98,46.98,46.98,15.76,1484
factor LP/LR summary evalb:,41.57,45.19,43.3,4.3,1511
factor Tag summary evalb:,63.41,63.79,63.6,4.16,1511
6,,,,,
pcfg LP/LR summary evalb:,41.24,43.26,42.23,3.47,1524
dep DA summary evalb:,53.29,53.29,53.29,15.39,1507
factor LP/LR summary evalb:,41.68,44.69,43.14,3.74,1524
factor Tag summary evalb:,61.77,62.12,61.95,3.34,1524
7,,,,,
pcfg LP/LR summary evalb:,44.51,45.43,44.97,6.65,1518
dep DA summary evalb:,47.55,47.55,47.55,12.83,1449
factor LP/LR summary evalb:,44.15,46.29,45.19,6.85,1518
factor Tag summary evalb:,61.98,62.35,62.17,5.73,1518
8,,,,,
pcfg LP/LR summary evalb:,41.61,44.06,42.8,4.71,1526
dep DA summary evalb:,51.59,51.59,51.59,12.51,1494
factor LP/LR summary evalb:,42.01,44.93,43.42,4.65,1526
factor Tag summary evalb:,62.75,63.13,62.94,5.5,1526
9,,,,,
pcfg LP/LR summary evalb:,38.85,44.39,41.43,3.12,1503
dep DA summary evalb:,51.94,51.94,51.94,12.97,1464
factor LP/LR summary evalb:,38.82,45.17,41.76,2.99,1503
factor Tag summary evalb:,64.52,64.91,64.72,3.79,1503
10,,,,,
pcfg LP/LR summary evalb:,39.92,44.13,41.92,2.88,1526
dep DA summary evalb:,50.25,50.25,50.25,10.94,1325
factor LP/LR summary evalb:,39.06,44,41.38,2.81,1526
factor Tag summary evalb:,61.49,61.84,61.67,2.03,1526